date,open,high,low,close,volume
2024-01-01,21661.0,21761.0,21591.0,21681.0,1000000
2024-01-02,21660.0,21760.0,21590.0,21680.0,1001000
2024-01-03,21677.0,21777.0,21607.0,21697.0,1002000
2024-01-04,21712.0,21812.0,21642.0,21732.0,1003000
2024-01-05,21765.0,21865.0,21695.0,21785.0,1004000
2024-01-08,21836.0,21936.0,21766.0,21856.0,1005000
2024-01-09,21925.0,22025.0,21855.0,21945.0,1006000
2024-01-10,21906.0,22006.0,21836.0,21926.0,1007000
2024-01-11,21905.0,22005.0,21835.0,21925.0,1008000
2024-01-12,21922.0,22022.0,21852.0,21942.0,1009000
2024-01-15,21957.0,22057.0,21887.0,21977.0,1010000
2024-01-16,22010.0,22110.0,21940.0,22030.0,1011000
2024-01-17,22081.0,22181.0,22011.0,22101.0,1012000
2024-01-18,22170.0,22270.0,22100.0,22190.0,1013000
2024-01-19,22151.0,22251.0,22081.0,22171.0,1014000
2024-01-22,22150.0,22250.0,22080.0,22170.0,1015000
2024-01-23,22167.0,22267.0,22097.0,22187.0,1016000
2024-01-24,22202.0,22302.0,22132.0,22222.0,1017000
2024-01-25,22255.0,22355.0,22185.0,22275.0,1018000
2024-01-26,22326.0,22426.0,22256.0,22346.0,1019000
2024-01-29,22415.0,22515.0,22345.0,22435.0,1020000
2024-01-30,22396.0,22496.0,22326.0,22416.0,1021000
2024-01-31,22395.0,22495.0,22325.0,22415.0,1022000
2024-02-01,22412.0,22512.0,22342.0,22432.0,1023000
2024-02-02,22447.0,22547.0,22377.0,22467.0,1024000
2024-02-05,22500.0,22600.0,22430.0,22520.0,1025000
2024-02-06,22571.0,22671.0,22501.0,22591.0,1026000
2024-02-07,22660.0,22760.0,22590.0,22680.0,1027000
2024-02-08,22641.0,22741.0,22571.0,22661.0,1028000
2024-02-09,22640.0,22740.0,22570.0,22660.0,1029000
2024-02-12,22657.0,22757.0,22587.0,22677.0,1030000
2024-02-13,22692.0,22792.0,22622.0,22712.0,1031000
2024-02-14,22745.0,22845.0,22675.0,22765.0,1032000
2024-02-15,22816.0,22916.0,22746.0,22836.0,1033000
2024-02-16,22905.0,23005.0,22835.0,22925.0,1034000
2024-02-19,22886.0,22986.0,22816.0,22906.0,1035000
2024-02-20,22885.0,22985.0,22815.0,22905.0,1036000
2024-02-21,22902.0,23002.0,22832.0,22922.0,1037000
2024-02-22,22937.0,23037.0,22867.0,22957.0,1038000
2024-02-23,22990.0,23090.0,22920.0,23010.0,1039000
2024-02-26,23061.0,23161.0,22991.0,23081.0,1040000
2024-02-27,23150.0,23250.0,23080.0,23170.0,1041000
2024-02-28,23131.0,23231.0,23061.0,23151.0,1042000
2024-02-29,23130.0,23230.0,23060.0,23150.0,1043000
2024-03-01,23147.0,23247.0,23077.0,23167.0,1044000
2024-03-04,23182.0,23282.0,23112.0,23202.0,1045000
2024-03-05,23235.0,23335.0,23165.0,23255.0,1046000
2024-03-06,23306.0,23406.0,23236.0,23326.0,1047000
2024-03-07,23395.0,23495.0,23325.0,23415.0,1048000
2024-03-08,23376.0,23476.0,23306.0,23396.0,1049000
2024-03-11,23375.0,23475.0,23305.0,23395.0,1050000
2024-03-12,23392.0,23492.0,23322.0,23412.0,1051000
2024-03-13,23427.0,23527.0,23357.0,23447.0,1052000
2024-03-14,23480.0,23580.0,23410.0,23500.0,1053000
2024-03-15,23551.0,23651.0,23481.0,23571.0,1054000
2024-03-18,23640.0,23740.0,23570.0,23660.0,1055000
2024-03-19,23621.0,23721.0,23551.0,23641.0,1056000
2024-03-20,23620.0,23720.0,23550.0,23640.0,1057000
2024-03-21,23637.0,23737.0,23567.0,23657.0,1058000
2024-03-22,23672.0,23772.0,23602.0,23692.0,1059000
2024-03-25,23725.0,23825.0,23655.0,23745.0,1060000
2024-03-26,23796.0,23896.0,23726.0,23816.0,1061000
2024-03-27,23885.0,23985.0,23815.0,23905.0,1062000
2024-03-28,23866.0,23966.0,23796.0,23886.0,1063000
2024-03-29,23865.0,23965.0,23795.0,23885.0,1064000
2024-04-01,23882.0,23982.0,23812.0,23902.0,1065000
2024-04-02,23917.0,24017.0,23847.0,23937.0,1066000
2024-04-03,23970.0,24070.0,23900.0,23990.0,1067000
2024-04-04,24041.0,24141.0,23971.0,24061.0,1068000
2024-04-05,24130.0,24230.0,24060.0,24150.0,1069000
2024-04-08,24111.0,24211.0,24041.0,24131.0,1070000
2024-04-09,24110.0,24210.0,24040.0,24130.0,1071000
2024-04-10,24127.0,24227.0,24057.0,24147.0,1072000
2024-04-11,24162.0,24262.0,24092.0,24182.0,1073000
2024-04-12,24215.0,24315.0,24145.0,24235.0,1074000
2024-04-15,24286.0,24386.0,24216.0,24306.0,1075000
2024-04-16,24375.0,24475.0,24305.0,24395.0,1076000
2024-04-17,24356.0,24456.0,24286.0,24376.0,1077000
2024-04-18,24355.0,24455.0,24285.0,24375.0,1078000
2024-04-19,24372.0,24472.0,24302.0,24392.0,1079000
2024-04-22,24407.0,24507.0,24337.0,24427.0,1080000
2024-04-23,24460.0,24560.0,24390.0,24480.0,1081000
2024-04-24,24531.0,24631.0,24461.0,24551.0,1082000
2024-04-25,24620.0,24720.0,24550.0,24640.0,1083000
2024-04-26,24601.0,24701.0,24531.0,24621.0,1084000
2024-04-29,24600.0,24700.0,24530.0,24620.0,1085000
2024-04-30,24617.0,24717.0,24547.0,24637.0,1086000
